Numéro enregistrement,Numéro battement,Amplitude 1,Amplitude 2,Amplitude 3,Amplitude 4,Amplitude 5,Centre 1,Centre 2,Centre 3,Centre 4,Centre 5,Ecart-type 1,Ecart-type 2,Ecart-type 3,Ecart-type 4,Ecart-type 5,Période interpics
265,8397,0.2178214980669006,0.2178453095149916,-0.0590200161861562,-0.0535284598139251,-0.1708214963372004,-3.141596403573808,-3.141592377442872,-2.351254962589387,-1.2052651060941977,-1.2050575541614523,0.0093460208085327,0.0009999988536739,0.0009598722198249,0.001,0.0265014462564505,0.32
265,8400,-0.1086111794260726,0.0872179068331403,0.4054005627425786,-0.1579396619054559,-0.0376049473247499,-3.14159558931376,-2.398020712478877,-0.0185893056425432,1.1339476441951328,-3.141595578405235,0.0094157562357849,0.0008434336524119,0.001,0.001,0.0094502261439071,0.332
265,8407,0.2101547700236335,0.2101977497080283,-0.1907045517387435,-0.030521890352713,0.1040195064910416,-3.1415991791754667,-3.1415925775989555,-2.516724418296933,-1.23091641982758,1.2303747091918962,0.0088791043301141,0.0009999999093294,0.0187351802297387,0.001,0.012585128924995,0.4
265,8408,-0.1258562730385777,0.0315840536755871,0.3679778148250647,-0.2039851949234159,0.0377133494173973,-3.141554898635803,-2.2304733655968905,-0.7539822368615505,0.2513274122871838,2.387584225361273,0.0148572412567545,0.0049960376981354,0.001,0.001,0.0088048669694595,0.284
265,8409,-0.1422671986332239,0.0663763332050225,0.5146157511229562,-0.0011973874058295,-0.0971550377730711,-3.1416793519042034,-2.806850699322588,-1.605053798486718,-0.6630185664314855,2.2986399920846603,0.0030305941930677,0.0032291301663285,0.1366657632164692,0.0010005821900531,0.0219869100658614,0.516
265,8410,0.0902872530113158,-0.0797001972248013,0.4350071821735079,-0.1615731344508147,-0.2154498894095852,-2.644728378775639,1.1547785268824602,1.5650321462229977,1.94906470102548,1.9489533389829576,0.0034991265594305,0.0156828237673826,0.0833744322122552,0.0241450623900189,0.0480093997165987,1.512
265,8411,-0.0813387427034407,-0.0598325138455314,0.4084239580300804,-0.0096467526123212,-0.0880696059578516,-3.1414396967695195,-3.141592653589676,-0.0826734908839417,2.2873004559397696,3.114076432678518,0.0219415386813439,0.001,0.001,0.0008287855327364,0.0292935785874384,0.512
265,8412,0.1419715705219146,0.1426426167854708,0.0707208608910472,0.035171514624588,0.045081556718759,-3.1416515923599766,-3.141592653588419,-2.794134649059706,-2.4943854237778225,-1.5787356664016083,0.0038467281085791,0.001,0.0040688681017382,-1.872546971054675e-05,0.015231040699681,0.4
265,8413,0.0695018284904852,-0.0276092351598961,0.3808811817490815,-0.1776777840139608,-0.1880720771309467,-2.8703116850848884,0.8513188705217125,1.4693388425021794,1.9362627327943247,1.935958754517363,0.0041131762278001,0.0010012167591274,0.091999148934099,0.0145533810799552,0.0487226693700019,1.192
265,8414,0.0578632396626794,0.1130960757108934,0.4181908742108909,-0.0014401309228819,-0.1149883230568715,-2.796374447679155,-2.4680862377182176,-0.7767674142517014,0.4833219467061204,2.140515001929829,0.0178241951711119,0.0050744251918675,0.0010001391911932,0.0010000000046906,0.0252532253783615,0.476
